"main.id","hpq_slp_mem.id","slp_mem_refno"
"56030","0","2"
"98728","0","1"
"113077","0","5"
"113077","1","4"
"116743","0","1"
"120583","0","1"
"122731","0","2"
"127115","0","1"
"127116","0","1"
"127132","0","1"
"143130","0","1"
"143130","1","2"
"143131","0","2"
"143135","0","2"
"143136","0","2"
"143137","0","2"
"143138","0","2"
"143139","0","2"
"143140","0","2"
"143141","0","2"
"143142","0","1"
"143142","1","2"
"143143","0","1"
"143143","1","2"
"143144","0","1"
"143145","0","1"
"143145","1","2"
"143146","0","1"
"143146","1","2"
"143147","0","2"
"143147","1","1"
"143157","0","2"
"143157","1","1"
"143160","0","1"
"143160","1","3"
"143160","2","4"
"143160","3","5"
"143160","4","6"
"143675","0","2"
"143676","0","2"
"143677","0","1"
"143679","0","2"
"143680","0","2"
"143681","0","1"
"143681","1","2"
"143681","2","3"
"143681","3","4"
"143681","4","5"
"143681","5","6"
"143686","0","2"
"143686","1","3"
"143688","0","5"
"143688","1","6"
"143691","0","1"
"143691","1","2"
"143691","2","3"
"143691","3","4"
"143691","4","5"
"144015","0","2"
"144015","1","3"
"144015","2","4"
"144015","3","5"
"144017","0","1"
"144017","1","5"
"144017","2","6"
"144017","3","7"
"144017","4","8"
"144018","0","2"
"144018","1","3"
"144020","0","2"
"144020","1","3"
"144020","2","4"
"144020","3","5"
"144023","0","2"
"144026","0","4"
"144026","1","3"
"144026","2","2"
"144027","0","1"
"144029","0","2"
"144029","1","4"
"144029","2","5"
"144029","3","6"
"144029","4","7"
"144030","0","1"
"144030","1","2"
"144033","0","2"
"144033","1","4"
"144033","2","5"
"144033","3","6"
"144035","0","2"
"144035","1","3"
"144035","2","4"
"146196","0","1"
"146199","0","2"
"146199","1","3"
"146199","2","4"
"146199","3","5"
"146201","0","1"
"146201","1","2"
"146201","2","3"
"146201","3","4"
"146202","0","2"
"146202","1","1"
"146204","0","1"
"146204","1","2"
"146204","2","3"
"146204","3","4"
"146204","4","5"
"146205","0","1"
"146205","1","2"
"146205","2","3"
"146206","0","1"
"146206","1","2"
"146206","2","3"
"146206","3","5"
"146206","4","5"
"146207","0","1"
"146207","1","2"
"146207","2","3"
"146208","0","2"
"146208","1","3"
"146208","2","4"
"146209","0","1"
"146209","1","2"
"146209","2","3"
"146210","0","1"
"146210","1","2"
"146210","2","3"
"146213","0","1"
"146213","1","2"
"146213","2","3"
"146218","0","1"
"146218","1","2"
"146218","2","3"
"146218","3","4"
"146218","4","5"
"146218","5","6"
"146220","0","2"
"146220","1","3"
"146220","2","4"
"164444","0","1"
"164444","1","2"
"164453","0","1"
"164453","1","2"
"164453","2","3"
"164461","0","1"
"164461","1","2"
"164461","2","3"
"164461","3","4"
"164461","4","5"
"164461","5","6"
"164466","0","3"
"164466","1","4"
"164466","2","5"
"164466","3","6"
"164468","0","1"
"164468","1","2"
"164468","2","3"
"164468","3","4"
"164470","0","1"
"164470","1","2"
"164470","2","3"
"164475","0","1"
"170269","0","1"
"170269","1","2"
"170274","0","1"
"170274","1","3"
"170278","0","1"
"170278","1","2"
"170278","2","3"
"173183","0","2"
"173183","1","4"
"173183","2","5"
"173183","3","6"
"179576","0","2"
"184223","0","1"
"184223","1","2"
"184224","0","1"
"184224","1","2"
"184230","0","1"
"184230","1","2"
"184230","2","3"
"184232","0","1"
"184232","1","2"
"184232","2","3"
"184232","3","4"
"184236","0","1"
"184236","1","2"
"184236","2","3"
"184236","3","4"
"184236","4","5"
"184237","0","1"
"184237","1","2"
"184237","2","3"
"184237","3","4"
"184237","4","5"
"184240","0","1"
"184240","1","2"
"184240","2","3"
"184240","3","4"
"184240","4","5"
"184242","0","1"
"184242","1","2"
"184242","2","3"
"184242","3","4"
"192124","0","1"
"192124","1","2"
"192124","2","3"
"192125","0","1"
"192125","1","2"
"192125","2","3"
"192125","3","4"
"192126","0","2"
"192126","1","3"
"192126","2","1"
"192127","0","1"
"192127","1","2"
"192127","2","3"
"192128","0","1"
"192128","1","2"
"192129","0","1"
"192129","1","2"
"192137","0","2"
"192137","1","3"
"192137","2","4"
"192162","0","1"
"192162","1","2"
"192162","2","3"
"192162","3","4"
"192162","4","5"
"192162","5","6"
"192163","0","1"
"192163","1","2"
"192163","2","3"
"204737","0","2"
"215533","0","2"
"215540","0","1"
"215540","1","2"
"220520","0","2"
"220520","1","3"
"220523","0","1"
"220523","1","2"
"220523","2","3"
"220524","0","1"
"220524","1","2"
"220524","2","3"
"220524","3","4"
"220529","0","1"
"220529","1","2"
"220529","2","3"
"220529","3","4"
"220529","4","5"
"224679","0","2"
"226017","0","1"
"226017","1","2"
"226019","0","1"
"226019","1","2"
"226019","2","3"
"226019","3","4"
"226019","4","5"
"226019","5","6"
"226019","6","7"
"226020","0","1"
"226020","1","2"
"226020","2","3"
"226020","3","4"
"226020","4","5"
"226020","5","6"
"226023","0","1"
"226023","1","2"
"226023","2","3"
"226023","3","4"
"226024","0","2"
"226024","1","3"
"226024","2","4"
"226024","3","5"
"226024","4","6"
"226027","0","1"
"226027","1","2"
"226030","0","1"
"226030","1","2"
"226030","2","5"
"226046","0","2"
"226046","1","3"
"226046","2","4"
"226046","3","5"
"226053","0","2"
"230240","0","1"
"230244","0","2"
"230244","1","3"
"230244","2","4"
"230245","0","1"
"230245","1","2"
"234892","0","1"
"234892","1","2"
"234892","2","3"
"234892","3","4"
"234892","4","5"
"234892","5","6"
"234893","0","1"
"234898","0","1"
"234898","1","2"
"756179","0","7"
"780520","0","1"
"780520","1","2"
"890985","0","1"
"890985","1","2"
"890985","2","3"
"890985","3","4"
"906608","0","1"
"990121","0","2"
"990121","1","1"
"990131","0","1"
"990131","1","6"
"990544","0","1"
"1015222","0","1"
"1015222","1","2"
"1015222","2","3"
"1051759","0","1"
"1100646","0","2"
"1100646","1","5"
"1398420","0","1422268922803"
"1858751","0","4"
"1858982","0","2"
"1948935","0","2"
"2045926","0","1"
"143694","0","2"
"143694","1","3"
"143694","2","4"
"143694","3","5"
"2689988","0","2"
"2689988","1","5"
"2718987","0","1425016297945"
"2718987","1","1425016297944"
"2718987","2","1425016297943"
"2864561","0","2"
"2914478","0","1"
"3019852","0","2"
"3034026","0","4"
"3034032","0","4"
"3034039","0","4"
"3397029","0","4"
"3889260","0","2"
